
2024/06/19 (11:16:07) | ===> btop++ v.1.3.2
2024/06/19 (11:16:07) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/19 (11:16:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (11:19:47) | ===> btop++ v.1.3.2
2024/06/19 (11:19:47) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/19 (11:19:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (18:47:14) | ===> btop++ v.1.3.2
2024/06/20 (18:47:14) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/20 (18:47:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (11:54:08) | ===> btop++ v.1.3.2
2024/06/21 (11:54:08) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/21 (11:54:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (11:58:35) | ===> btop++ v.1.3.2
2024/06/21 (11:58:35) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/21 (11:58:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (11:58:49) | ===> btop++ v.1.3.2
2024/06/21 (11:58:49) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/21 (11:58:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (12:19:17) | ===> btop++ v.1.3.2
2024/06/21 (12:19:17) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/21 (12:19:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/21 (13:51:06) | ===> btop++ v.1.3.2
2024/07/21 (13:51:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
